frame_id,timestamp_ms,c2w_m00,c2w_m01,c2w_m02,c2w_m03,c2w_m10,c2w_m11,c2w_m12,c2w_m13,c2w_m20,c2w_m21,c2w_m22,c2w_m23,c2w_m30,c2w_m31,c2w_m32,c2w_m33,camera_model,camera_fx,camera_fy,camera_cx,camera_cy,camera_radial_k1,camera_radial_k2,camera_radial_k3,camera_radial_k4,camera_radial_k5,camera_radial_k6,camera_tangential_p1,camera_tangential_p2,input_keys,input_actions,input_mouse_buttons,input_mouse_dx,input_mouse_dy
134,4700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
135,4733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
136,4767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
137,4800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
138,4833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
139,4900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
140,4933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
141,4967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
142,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
143,5033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
144,5067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
145,5100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
146,5133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
147,5167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
148,5200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
149,5233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
150,5267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
151,5300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
152,5333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
153,5400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
154,5433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
155,5467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
156,5500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
157,5533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
158,5567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
159,5600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
160,5633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
161,5700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
162,5733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
163,5767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
164,5800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
